ID;NOM_PARC;ADRESS_SSC;ADRESS_GEO;ARRONDISSEMENT;DELEG;SITE_DELEG;TEL;H_PARC_CM;H2_PARC_CM;TYPE_PARC;HORAIRE_NA;ASC_SURF;ACCES_MOTO;ACCES_VELO;V_ELEC_CH;AUTOPART;DATE_TA;AB_1M_E;AB_1A_E;TARIF_PR;PR_1A_MINE;PR_1A_MAXE;TARIF_RES;TF_RES_1AE;DATE_TH;TF_15MN_E;TF_30MN_E;TF_1H_E;TF_1H30_E;TF_2H_E;TF_3H_E;TF_4H_E;TF_7H_E;TF_8H_E;TF_9H_E;TF_10H_E;TF_11H_E;TF_12H_E;TF_24H_E;NB_PL_PMR;ABPMR_1M_E;ABPMR_1T_E;ABPMR_1A_E;ABVE_1M_E;ABVE_1T_E;ABVE_1A_E;NB_PL_MOTO;TMOTO_1EHE;ABMOTO_1ME;ABMOTO_1TE;ABMOTO_1AE;TVELO_1M_E;MIS_A_JOUR;ZONES_RES;TF_15MN_MO;TF_30MN_MO;TF_24H_MOT;TF_PR_MOTO;PR_1A_MINM;PR_1A_MAXM;TF_RES_MO;TF_RES_1AM;AB_1A_PATT;PARC_AMOD;PARC_RELAI;AB_1M_RELA;X_RGF93;Y_RGF93;"ARR_INSEE
";"GRATUIT
";"NB_PLACES
";"NUM_SIRET
";"XLONG
YLAT";YLAT;geo_shape;geo_point_2d
178;ETOILE FRIEDLAND;14 TER ET 39 TER AVENUE DE FRIEDLAND;39 TER AVENUE DE FRIEDLAND;8;INDIGO;WWW.PARKINDIGO.FR;0142896964;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;NON;01/08/2016;292;2936;NON;ND;ND;NON;ND;01/09/2016;1,2;2,4;4,8;7,2;9,6;14,4;19,2;33,6;38,4;39,6;39,6;39,6;39,6;39,6;6;ND;ND;ND;ND;ND;1468;5;ND;ND;ND;ND;ND;2020-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;648578.5631;6863999.7158;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.299086316288409, 48.87409054633082]}";48.8740905463,2.29908631629
165;FOCH;4 TER, 37 TER ET 45 TER AVENUE FOCH;4 TER AVENUE FOCH;16;INDIGO;WWW.PARKINDIGO.FR;0145004478;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/01/2019;305;3050;NON;ND;ND;OUI;2065;01/01/2019;2,25;3,4;4,5;6,8;9;13,5;18;31,5;36;40,5;45;45;45;45;8;152,5;427;1525;152,5;427;1525;18;1,5;106.75;298.9;1067.5;10;2020-05-01;TOUT PARIS;0,75;1,15;15,75;NON;ND;ND;NON;ND;3812.5;NON;OUI;75;648088.5671;6863976.6195;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.291989661914294, 48.87364951601748]}";48.873649516,2.29198966191
162;JEAN BOUIN;17 RUE NUNGESSER ET COLI;17 RUE NUNGESSER ET COLI;16;SAEMES;WWW.SAEMES.FR;0146512868;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;21/10/2019;150;1500;OUI;900;1200;NON;ND;21/10/2019;0,9;1,8;3,6;5,4;7,2;10,8;14,4;25,2;28,8;32,4;32,4;32,4;32,4;32,4;11;75;212,5;750;75;212,5;750;56;1,25;52;148;525;10;2020-05-01;16R 16S 16T 16U 16V 16W 16X 16Y 16Z /+ riverains rue Ningesser et Coli de Boulogne;0,35;0,65;11,25;OUI;315;420;NON;ND;1880;NON;NON;ND;645117.4348;6860743.8521;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.2521085718165, 48.84430185238402]}";48.8443018524,2.25210857182
185;JOFFRE;2 TER ET 6 TER PLACE JOFFRE, 14 AVENUE FRÉDÉRIC LE PLAY, 13 AVENUE ÉMILE ACOLLAS, 77 AVENUE DE SUFFREN;14 AVENUE FREDERIC LE PLAY;7;INDIGO;WWW.PARKINDIGO.FR;0145484330;190;;VISITEURS ET ABONNES;24h / 24;ACCESSIBLE DE PLAIN PIED;OUI;OUI;OUI;OUI;01/01/2016;191;1986;NON;ND;ND;NON;ND;01/01/2017;1,15;2,3;4,6;6,9;9,2;13,8;18,4;32,2;36,8;39,6;39,6;39,6;39,6;39,6;1;95,5;272;993;95,5;272;993;19;1,6;76;218;799;10;2020-05-01;ND;0,4;0,8;13,6;NON;ND;ND;NON;ND;3110;NON;NON;ND;648961.7632;6861775.4863;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.304433111495555, 48.853995586067214]}";48.8539955861,2.3044331115
102;MAIRIE DU 19EME;5/M RUE ANDRÉ DUBOIS;5 M RUE ANDRE DUBOIS;19;SAEMES;WWW.SAEMES.FR;0144829999;190;;ABONNES;POUR ABONNES;NON;NON;NON;NON;OUI;01/07/2019;172;1720;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;2;ND;139;ND;ND;ND;ND;13;ND;69;186;688;ND;2020-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;1720;NON;NON;ND;654659.506;6865010.6048;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.381750906355664, 48.883420732686865]}";48.8834207327,2.38175090636
176;PORTE D ORLEANS;7 RUE DE LA LÉGION ÉTRANGÈRE ET 8 AVENUE DE LA PORTE D'ORLÉANS;8 AVENUE DE LA PORTE D ORLEANS;14;SAEMES;WWW.SAEMES.FR;0140520920;185;260;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;01/07/2019;144;1440;OUI;864;1152;NON;ND;01/07/2019;0,9;1,8;3,6;5,4;7,2;10,8;14,4;25,2;28,8;32,4;32,4;32,4;32,4;32,4;14;72;201;720;72;201;720;24;1,25;50.4;141;504;ND;2020-05-01;TOUT PARIS;0,35;0,65;11,25;OUI;302,2;403;NON;ND;1820;NON;OUI;75;650508.6083;6858024.4178;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.3258481592013, 48.820547583135436]}";48.8205475831,2.3258481592
161;SAINT GERMAIN (GARAGE);169 TER BOULEVARD SAINT GERMAIN;169 TER BOULEVARD SAINT GERMAIN;6;INDIGO;WWW.PARKINDIGO.FR;0145491855;190;;ABONNES;POUR ABONNES;OUI;OUI;NON;NON;NON;24/12/2016;325;3250;OUI;1950;2600;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;162,5;455;1625;162,5;455;1625;0;ND;ND;ND;ND;10;2020-05-01;1E 4E 5E 5H 5J 6E 6F 6G 7L 7M 7N;ND;ND;ND;NON;ND;ND;NON;ND;4358;NON;NON;ND;650918.1711;6861771.406;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.331137596755641, 48.854211085941536]}";48.8542110859,2.33113759676
50;SOUFFLOT;18/M ET 19 TER RUE SOUFFLOT;18 M RUE SOUFFLOT;5;INDIGO;WWW.PARKINDIGO.FR;0143261554;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;01/08/2016;239;2486;NON;ND;ND;NON;ND;01/01/2017;1,05;2,1;4,2;6,3;8,4;12,6;16,8;29,4;33,6;37,8;37,8;37,8;37,8;37,8;2;119,5;341;1243;119,5;341;1243;32;1,2;83.6;238.7;870.1;10,1;2020-05-01;ND;0,3;0,6;10,8;NON;ND;ND;NON;ND;3077;NON;NON;ND;651746.2924;6860989.5635;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.342419247226533, 48.847087392347184]}";48.8470873923,2.34241924723
129;BERCY SEINE VEHICULES LEGERS;180 QUAI DE BERCY;180 QUAI DE BERCY;12;SAEMES;WWW.SAEMES.FR;0143074858;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;01/07/2018;170;1700;NON;ND;ND;OUI;1190;01/07/2018;0,95;1,9;3,8;5,7;7,6;11,4;15,2;26,6;30,4;34,2;34,2;34,2;34,2;34,2;14;ND;ND;ND;85;225,5;850;10;1,35;68;180;680;15;2020-05-01;12F 12G 12J 12K 12L 13K 13P 13R 13S;0,35;0,65;11,95;NON;ND;ND;OUI;510;2216;NON;OUI;75;654657.9817;6859498.5961;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.380828583145153, 48.835056379005536]}";48.835056379,2.38082858315
133;CASERNE MONGE;17 TER RUE GRACIEUSE;17 TER RUE GRACIEUSE;5;SAEMES;WWW.SAEMES.FR;0144829999;190;;ABONNES;POUR ABONNES;OUI;OUI;OUI;NON;NON;01/07/2019;200;2100;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;5;75;ND;ND;ND;ND;ND;12;ND;100;277;1050;ND;2020-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;2625;NON;NON;ND;652396.3529;6860474.8103;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.35141633686725, 48.842537951617054]}";48.8425379516,2.35141633687
